index,created_date,Price,below_price,Area,Adress,Bedrooms,Bathrooms,Parking_Spaces,Latitude,Longitude,Ano,Bairro,Cidade
1508,2023-06-20,2490000.0,False,343.0,"Rua Andrade Fernandes 1, Vila Madalena - São Paulo/SP",4.0,6.0,4.0,,,2023.0,Vila Madalena,São Paulo
1509,2021-11-23,1549550.0,False,553.0,"Rua José Maria Lisboa 1225, Jardim Paulista - São Paulo/SP",4.0,8.0,5.0,-23.564315284219617,-46.66220442318622,2021.0,Jardim Paulista,São Paulo
1510,2020-07-27,5100000.0,True,182.0,"Rua Francisca Júlia 365, Santana - São Paulo/SP",4.0,5.0,4.0,-23.493227,-46.6290801,2020.0,Santana,São Paulo
1511,2018-03-27,0.0,False,115.0,"Rua Juá 100, Saúde - São Paulo/SP",4.0,4.0,4.0,-23.6127373,-46.6355779,2018.0,Saúde,São Paulo
1512,2018-03-27,0.0,False,261.0,"Rua Pascoal Vita 336, Vila Madalena - São Paulo/SP",4.0,5.0,4.0,,,2018.0,Vila Madalena,São Paulo
1513,2018-03-27,1280000.0,False,100.0,"Rua Padre Lebret 801, Jardim Leonor - São Paulo/SP",1.0,1.0,1.0,,,2018.0,Jardim Leonor,São Paulo
1514,2018-07-29,525900.0,False,37.0,"Avenida Nova Independência 1010, Brooklin Paulista - São Paulo/SP",1.0,1.0,1.0,-23.600442,-46.6885746,2018.0,Brooklin Paulista,São Paulo
1515,2022-03-17,849000.0,False,34.0,"Rua Batataes 80, Jardim Paulista - São Paulo/SP",1.0,1.0,1.0,-23.5714135,-46.6561708,2022.0,Jardim Paulista,São Paulo
1516,2018-03-30,1285000.0,False,51.0,"Rua Cardeal Arcoverde , Pinheiros - São Paulo/SP",1.0,1.0,1.0,-23.5657278,-46.6936158,2018.0,Pinheiros,São Paulo
1517,2021-09-09,760000.0,False,45.0,"Rua Castilho , Brooklin Paulista - São Paulo/SP",1.0,1.0,1.0,,,2021.0,Brooklin Paulista,São Paulo
1518,2018-03-30,678000.0,False,37.0,"Rua Afonso Celso 789, Vila Mariana - São Paulo/SP",1.0,1.0,1.0,-23.598399970892302,-46.63488718032204,2018.0,Vila Mariana,São Paulo
1519,2018-03-27,1594999.0,False,62.0,"Rua Leopoldo Couto Magalhães Júnior 1098, Itaim Bibi - São Paulo/SP",1.0,1.0,1.0,-23.5892049,-46.6839228,2018.0,Itaim Bibi,São Paulo
1520,2020-03-09,640000.0,False,33.0,"Avenida Santo Amaro 3131, Brooklin Paulista - São Paulo/SP",1.0,1.0,1.0,,,2020.0,Brooklin Paulista,São Paulo
1521,2018-12-18,1015680.0,False,42.0,"Rua Doutor Guilherme Bannitz 61, Itaim Bibi - São Paulo/SP",1.0,1.0,1.0,-23.589201,-46.673239,2018.0,Itaim Bibi,São Paulo
1522,2018-03-27,750000.0,False,53.0,"Rua Paim , Bela Vista - São Paulo/SP",1.0,1.0,1.0,-23.5540456,-46.6502546,2018.0,Bela Vista,São Paulo
1523,2018-03-28,954000.0,False,37.0,"Rua José Maria Lisboa 696, Jardim Paulista - São Paulo/SP",1.0,1.0,1.0,-23.567675670620982,-46.65841837273593,2018.0,Jardim Paulista,São Paulo
1524,2022-08-10,549000.0,False,42.0,"Rua Doutor Zuquim 957, Santana - São Paulo/SP",1.0,1.0,1.0,-23.49659831116436,-46.62199741800361,2022.0,Santana,São Paulo
1525,2018-03-28,440000.0,False,27.0,"Rua Jesuíno Arruda 806, Itaim Bibi - São Paulo/SP",1.0,1.0,1.0,-23.5830752,-46.67834,2018.0,Itaim Bibi,São Paulo
1526,2018-03-30,735333.0,False,33.0,"Avenida Morumbi , Santo Amaro - São Paulo/SP",1.0,1.0,1.0,-23.6200295,-46.7014512,2018.0,Santo Amaro,São Paulo
1530,2018-03-28,499000.0,True,70.0,"Rua João Baldinato , Vila Suzana - São Paulo/SP",1.0,1.0,2.0,,,2018.0,Vila Suzana,São Paulo
1531,2018-03-27,840000.0,False,70.0,"Avenida Padre Antônio José dos Santos , Cidade Monções - São Paulo/SP",1.0,1.0,2.0,,,2018.0,Cidade Monções,São Paulo
1532,2018-09-24,1300000.0,False,47.0,"Rua das Tulipas , Vila Lúcia - São Paulo/SP",1.0,1.0,2.0,-20.5637028,-47.386965,2018.0,Vila Lúcia,São Paulo
1533,2018-03-27,2499000.0,False,90.0,"Rua Itacema 65, Itaim Bibi - São Paulo/SP",1.0,2.0,1.0,-23.5794948,-46.6733914,2018.0,Itaim Bibi,São Paulo
1534,2020-12-16,1499980.0,False,75.0,"Rua Leopoldo de Bulhões 62, Vila Clementino - São Paulo/SP",1.0,2.0,1.0,,,2020.0,Vila Clementino,São Paulo
